scientificName,taxonConceptID,dataResourceUid,stateProvince,country,zones
Hypericum rubicundulum,NZOR-6-52890,dr2153,Nelson Land District,New Zealand,
Hypericum rubicundulum,NZOR-6-52890,dr2153,Otago Land District,New Zealand,
Hypericum rubicundulum,NZOR-6-52890,dr2153,,New Zealand,
Hypocalymma connatum,https://id.biodiversity.org.au/taxon/apni/51290105,dr15863,Western Australia,Australia,
Hypocalymma gardneri,https://id.biodiversity.org.au/node/apni/2906357,dr15863,Western Australia,Australia,
Hypocalymma linifolium,https://id.biodiversity.org.au/node/apni/2911829,dr15863,Western Australia,Australia,
Hypocalymma linifolium,https://id.biodiversity.org.au/node/apni/2911829,dr15865,Western Australia,Australia,
Hypocalymma longifolium,https://id.biodiversity.org.au/node/apni/2913028,dr15863,Western Australia,Australia,
Hypocalymma longifolium,https://id.biodiversity.org.au/node/apni/2913028,dr376,Western Australia,Australia,
Hypocalymma melaleucoides,https://id.biodiversity.org.au/node/apni/2896704,dr15863,Western Australia,Australia,
Hypocalymma myrtifolium,https://id.biodiversity.org.au/node/apni/2911676,dr1411,Western Australia,Australia,
Hypocalymma myrtifolium,https://id.biodiversity.org.au/node/apni/2911676,dr15860,Western Australia,Australia,
Hypocalymma myrtifolium,https://id.biodiversity.org.au/node/apni/2911676,dr15861,Western Australia,Australia,
Hypocalymma myrtifolium,https://id.biodiversity.org.au/node/apni/2911676,dr15863,Western Australia,Australia,
Hypocalymma myrtifolium,https://id.biodiversity.org.au/node/apni/2911676,dr15865,Western Australia,Australia,
